Year,Tag,Count,Total Questions,Percentage
2022,Python,1416,4578,30.93
2022,Javascript,939,4578,20.51
2022,Reactjs,330,4578,7.21
2022,Java,305,4578,6.66
2022,C#,373,4578,8.15
2022,Html,314,4578,6.86
2022,Android,217,4578,4.74
2022,R,220,4578,4.81
2022,Flutter,247,4578,5.4
2022,Node.js,217,4578,4.74
2023,Python,1781,5927,30.05
2023,Javascript,1139,5927,19.22
2023,Reactjs,499,5927,8.42
2023,Java,508,5927,8.57
2023,C#,424,5927,7.15
2023,Html,373,5927,6.29
2023,Android,294,5927,4.96
2023,R,307,5927,5.18
2023,Flutter,299,5927,5.04
2023,Node.js,303,5927,5.11
2024,Python,2022,7175,28.18
2024,Javascript,1290,7175,17.98
2024,Reactjs,717,7175,9.99
2024,Java,694,7175,9.67
2024,C#,476,7175,6.63
2024,Html,463,7175,6.45
2024,Android,460,7175,6.41
2024,R,361,7175,5.03
2024,Flutter,406,7175,5.66
2024,Node.js,286,7175,3.99
2025,Python,2078,8114,25.61
2025,Javascript,1428,8114,17.6
2025,Reactjs,841,8114,10.36
2025,Java,787,8114,9.7
2025,C#,697,8114,8.59
2025,Html,555,8114,6.84
2025,Android,506,8114,6.24
2025,R,468,8114,5.77
2025,Flutter,407,8114,5.02
2025,Node.js,347,8114,4.28
